course_id,review_platform,title,provider,school,area,subject,price,level,course_length,effort_hours,published_time,time,session_open,low rating ratio,mid rating ratio,high rate ratio,helpfulness score (ratio),avg. review length,review count,review rating,indegree,outdegree,degree,betweenness,closeness,eigenvector,transitivity,constraint,performace (t),performance (t+1),url
CourseTalk-1,CourseTalk,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,edX,Massachusetts Institute of Technology,Physical Science and Engineering,Engineering,30,Introductory,8,3,2,3,FALSE,0,0,1,0.4,269.8,5,5,2,1,3,606.8333333,0,1.52E-05,4.93E-05,0.555594974,25,40,36498
CourseTalk-1,CourseTalk,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,edX,Massachusetts Institute of Technology,Physical Science and Engineering,Engineering,30,Introductory,8,3,2,4,TRUE,0,0,1,0,665.25,8,5,1,1,2,160,2.39E-17,1.87E-05,7.48E-05,0.500219353,40,NA,36498
CourseTalk-2,CourseTalk,First Nights: Beethoven¡¯s 9th Symphony and the 19th Century Orchestra,edX,Harvard University,Arts and Humanities,Music,16,Introductory,3,2.5,3,3,TRUE,0,0,1,0,335,6,5,3,2,5,7312.833333,5.25E-17,1.52E-05,4.93E-05,0.280039419,30,0,51341
CourseTalk-4,CourseTalk,Behavioral Economics in Action,edX,University of Toronto,Business,Business & Management,30,Introductory,6,4.5,1,3,TRUE,0,0,1,0,333.3333333,3,5,1,1,2,3235.166667,0,1.51E-05,4.93E-05,0.500039419,15,33,14133
CourseTalk-4,CourseTalk,Behavioral Economics in Action,edX,University of Toronto,Business,Business & Management,30,Introductory,6,4.5,1,4,FALSE,0,0,1,0,553.1428571,7,4.714285714,2,2,4,810,0.000154869,1.89E-05,7.48E-05,0.250219353,33,NA,14133
CourseTalk-7,CourseTalk,Learn to Program Using Python,edX,University of Texas Arlington,Computer Science,Computer Science,1,Introductory,9,7,3,3,TRUE,0.166666667,0.083333333,0.75,0.166666667,245.3333333,12,4,1,0,1,0,0,1.52E-05,0,1.000039419,48,35.5,45518
CourseTalk-9,CourseTalk,Paradox and Infinity,edX,Massachusetts Institute of Technology,Arts and Humanities,Philosophy & Ethics,19,Introductory,10,4.5,2,3,TRUE,0,0,1,0,569.5555556,9,4.888888889,0,0,0,0,0,4.93E-06,0,0,44,0,45342
CourseTalk-10,CourseTalk,Introduction to Psychology,edX,St. Margaret¡¯s Episcopal School,Life Sciences,Biology & Life Sciences,33,Introductory,10,4.5,2,3,TRUE,0,0,1,0,202.8,5,5,1,1,2,4553,1.08E-17,1.49E-05,4.93E-05,0.500039419,25,0,27188
CourseTalk-12,CourseTalk,China (Part 3): Cosmopolitan Tang: Aristocratic Culture,edX,Harvard University,Arts and Humanities,History,49,Introductory,4,2.5,1,4,FALSE,0,0,1,0,185,1,5,1,1,2,0,4.26E-17,1.16E-05,7.48E-05,1.000219353,5,NA,14421
CourseTalk-15,CourseTalk,Foundations of Development Policy: Advanced Development Economics,edX,Massachusetts Institute of Technology,Business,Economics & Finance,30,Intermediate,12,12,3,4,TRUE,0,0,1,0,255.25,4,4.75,0,0,0,0,4.92E-17,1.16E-05,0,0,19,NA,82884
CourseTalk-16,CourseTalk,Nutrition and Health Part 2: Micronutrients and Malnutrition,edX,Wageningen University,Life Sciences,Food & Nutrition,1,Intermediate,7,7,NA,3,NA,0.045454545,0,0.954545455,0,395.9545455,22,4.772727273,0,0,0,0,0,4.93E-06,0,0,105,0,45517
CourseTalk-21,CourseTalk,International Law,edX,null,Social Sciences,Law,7,Advanced,8,6,2,2,TRUE,0,0.076923077,0.923076923,0,253.3846154,13,4.538461538,2,1,3,360,1.38E-13,4.44E-05,2.70E-05,0.555702683,59,193,78566
CourseTalk-21,CourseTalk,International Law,edX,null,Social Sciences,Law,7,Advanced,8,6,2,3,TRUE,0,0.075,0.925,0.05,430.125,40,4.825,0,0,0,0,0,4.93E-06,0,0,193,60,78566
CourseTalk-21,CourseTalk,International Law,edX,null,Social Sciences,Law,7,Advanced,8,6,2,4,TRUE,0,0.153846154,0.846153846,0,534.7692308,13,4.615384615,0,0,0,0,4.92E-17,1.16E-05,0,0,60,NA,78566
CourseTalk-22,CourseTalk,DemoX,edX,null,Social Sciences,Education & Teacher Training,NA,Introductory,NA,1,NA,2,NA,0,0.033333333,0.966666667,0.2,191.2666667,30,4.883333333,0,0,0,0,1.06E-17,1.36E-05,0,0,146.5,172,34575
CourseTalk-22,CourseTalk,DemoX,edX,null,Social Sciences,Education & Teacher Training,NA,Introductory,NA,1,NA,3,NA,0.047619048,0.166666667,0.785714286,0.166666667,230.7142857,42,4.095238095,0,0,0,0,0,4.93E-06,0,0,172,215,34575
CourseTalk-22,CourseTalk,DemoX,edX,null,Social Sciences,Education & Teacher Training,NA,Introductory,NA,1,NA,4,NA,0.06,0.08,0.86,0,191.92,50,4.3,1,1,2,0,3.58E-17,1.16E-05,7.48E-05,1.000219353,215,NA,34575
CourseTalk-23,CourseTalk,The Science of Happiness,edX,"University of California, Berkeley",Social Sciences,Social Sciences,30,Introductory,8,4.5,2,2,TRUE,0.021276596,0.063829787,0.914893617,0.212765957,387.106383,47,4.574468085,4,5,9,3183.6838,1.37E-05,4.81E-05,2.70E-05,0.185332313,215,144,69880
CourseTalk-23,CourseTalk,The Science of Happiness,edX,"University of California, Berkeley",Social Sciences,Social Sciences,30,Introductory,8,4.5,2,3,TRUE,0.090909091,0.090909091,0.818181818,0.212121212,389.8787879,33,4.363636364,2,1,3,6365.583333,0,1.55E-05,4.93E-05,0.555594974,144,112,69880
CourseTalk-23,CourseTalk,The Science of Happiness,edX,"University of California, Berkeley",Social Sciences,Social Sciences,30,Introductory,8,4.5,2,4,TRUE,0,0,1,0,579.9565217,23,4.869565217,1,1,2,4,2.67E-17,1.18E-05,7.48E-05,0.500219353,112,NA,69880
CourseTalk-25,CourseTalk,Digital Branding and Engagement,edX,Curtin University,Business,Business & Management,52,Intermediate,4,3.5,3,3,TRUE,0.050847458,0.06779661,0.881355932,0.372881356,366.5084746,59,4.449152542,1,1,2,251,0,1.54E-05,4.93E-05,0.500039419,262.5,38,80768
CourseTalk-25,CourseTalk,Digital Branding and Engagement,edX,Curtin University,Business,Business & Management,52,Intermediate,4,3.5,3,4,TRUE,0.2,0.2,0.6,0.7,556.2,10,3.8,1,0,1,0,0.001402015,1.88E-05,0,1.000219353,38,NA,80768
CourseTalk-26,CourseTalk,United States Health Policy,edX,Harvard University,Life Sciences,Health & Safety,15,Introductory,13,4,1,1,TRUE,0,0,1,0,511,3,5,1,1,2,1,0,0.000109818,3.05E-05,0.500069323,15,5,34831
CourseTalk-26,CourseTalk,United States Health Policy,edX,Harvard University,Life Sciences,Health & Safety,15,Introductory,13,4,1,2,TRUE,0,0,1,0,270,1,5,0,0,0,0,1.06E-17,1.36E-05,0,0,5,0,34831
CourseTalk-27,CourseTalk,Introduction to Control System Design - A First Look,edX,Massachusetts Institute of Technology,Physical Science and Engineering,Engineering,14,Introductory,4,5.5,3,3,TRUE,0,0,1,0.5,827.5,4,5,1,1,2,1974,0,1.52E-05,4.93E-05,0.500039419,20,0,70223
CourseTalk-35,CourseTalk,Cell Biology: Mitochondria,edX,Harvard University,Life Sciences,Biology & Life Sciences,30,Introductory,14,3,3,4,TRUE,0,0,1,0,365.5,4,5,0,1,1,0,4.92E-17,1.16E-05,0,1.000219353,20,NA,68048
CourseTalk-41,CourseTalk,Molecular Biology ? Part 2: Transcription and Transposition,edX,Massachusetts Institute of Technology,Life Sciences,Biology & Life Sciences,33,Advanced,6,6,3,3,TRUE,0,0,1,1.388888889,1124.444444,18,5,0,0,0,0,0,4.93E-06,0,0,90,30,69232
CourseTalk-41,CourseTalk,Molecular Biology ? Part 2: Transcription and Transposition,edX,Massachusetts Institute of Technology,Life Sciences,Biology & Life Sciences,33,Advanced,6,6,3,4,TRUE,0,0,1,0.5,751.1666667,6,5,1,0,1,0,3.79E-17,1.17E-05,0,1.000219353,30,NA,69232
CourseTalk-44,CourseTalk,Introduction to Psychology ãý×â???,edX,Tsinghua University,Arts and Humanities,Philosophy & Ethics,1,Introductory,13,5,NA,3,NA,0.666666667,0,0.333333333,0,325.6666667,3,0.833333333,0,0,0,0,0,4.93E-06,0,0,2.5,0,40031
CourseTalk-48,CourseTalk,Contract Law: From Trust to Promise to Contract,edX,Harvard University,Social Sciences,Law,4,Intermediate,8,4,2,2,TRUE,0.0625,0,0.9375,0.3125,150.625,16,4.40625,4,3,7,2577.001554,5.53E-06,4.80E-05,2.70E-05,0.224636924,70.5,285.5,83112
CourseTalk-48,CourseTalk,Contract Law: From Trust to Promise to Contract,edX,Harvard University,Social Sciences,Law,4,Intermediate,8,4,2,3,TRUE,0.016393443,0.081967213,0.901639344,0.098360656,228.2786885,61,4.680327869,0,0,0,0,0,4.93E-06,0,0,285.5,109.5,83112
CourseTalk-48,CourseTalk,Contract Law: From Trust to Promise to Contract,edX,Harvard University,Social Sciences,Law,4,Intermediate,8,4,2,4,TRUE,0,0,1,0.090909091,197.5454545,22,4.977272727,0,0,0,0,4.92E-17,1.16E-05,0,0,109.5,NA,83112
CourseTalk-54,CourseTalk,Introduction to Data Analysis using Excel,edX,Microsoft,Data Science,Data Analysis & Statistics,30,Introductory,4,3,3,3,TRUE,0.058823529,0.352941176,0.588235294,0,280.5294118,17,3.794117647,0,0,0,0,0,4.93E-06,0,0,64.5,6825.5,69858
CourseTalk-54,CourseTalk,Introduction to Data Analysis using Excel,edX,Microsoft,Data Science,Data Analysis & Statistics,30,Introductory,4,3,3,4,TRUE,0.004778157,0.036177474,0.959044369,0.005460751,268.4416382,1465,4.659044369,2,14,16,142,0.24001009,1.88E-05,0.025074755,0.480243142,6825.5,NA,69858
